Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
539524,Dr. Lal PathLabs Ltd,Om Prakash Manchanda,Other,Equity Shares,783496,0.94,Equity Shares,25000,48251250.00,Acquisition,Equity,808496,0.96,28 Apr 2025,28 Apr 2025,30 Apr 2025,ESOP,,,,,,,NA,30 Apr 2025
539524,Dr. Lal PathLabs Ltd,Om Prakash Manchanda,Other,Equity Shares,808496,0.96,Equity Shares,19349,54228776.00,Disposal,Equity,789147,0.94,28 Apr 2025,30 Apr 2025,30 Apr 2025,Market Sale,,,,,,,NSE,30 Apr 2025
539524,Dr. Lal PathLabs Ltd,Dr. Lal PathLabs Employee Welfare Trust,Other,Equity Shares,224462,0.27,Equity Shares,25436,48255610.00,Disposal,Equity,199026,0.24,28 Apr 2025,28 Apr 2025,30 Apr 2025,ESOP,,,,,,,NA,30 Apr 2025
532859,Hinduja Global Solutions Ltd,Hinduja Group Ltd.,Promoter,Equity Shares,17569646,37.77,Equity Shares,38000,19045600.00,Revoke,Equity,17607646,37.85,25 Apr 2025,25 Apr 2025,28 Apr 2025,Off Market,,,,,,,NA,29 Apr 2025
535136,NIBE Ltd,Nibe Ganesh Ramesh,Promoter,Equity Shares,6872800,48.07,Equity Shares,204705,104399550.00,Acquisition,Equity,7077505,48.81,26 Apr 2025,26 Apr 2025,29 Apr 2025,Allotment,,,,,,,BSE,29 Apr 2025
507685,Wipro Ltd,Ritesh Talapatra,Designated Person,Any other instrument,333332,0.00,Any other instrument,168250,40227086.00,Disposal,-,165082,0.00,28 Apr 2025,28 Apr 2025,28 Apr 2025,Market Sale,,,,,,,NA,29 Apr 2025
507685,Wipro Ltd,Vinayak Krishan,Designated Person,Any other instrument,33332,0.00,Any other instrument,14500,3471393.00,Disposal,-,18832,0.00,28 Apr 2025,28 Apr 2025,28 Apr 2025,Market Sale,,,,,,,NA,29 Apr 2025
507685,Wipro Ltd,Nikos Anerousis,Designated Person,Any other instrument,66754,0.00,Any other instrument,23750,5685902.00,Disposal,-,43004,0.00,28 Apr 2025,28 Apr 2025,28 Apr 2025,Market Sale,,,,,,,NA,29 Apr 2025
507685,Wipro Ltd,Venu Pemmaraju,Connected Person,Any other instrument,37244,0.00,Any other instrument,19500,4668424.00,Disposal,-,17744,0.00,28 Apr 2025,28 Apr 2025,28 Apr 2025,Market Sale,,,,,,,NA,29 Apr 2025
500458,Kore Foods Ltd,YASMIN ABDULLAH FAZALBHOY JOINTLY WITH ABDULLAH YOUSUFALI FAZALBHOY,Promoter Group,Equity Shares,2531023,9.87,Equity Shares,2531023,4834254.00,Disposal,Equity,0,0.00,25 Apr 2025,25 Apr 2025,28 Apr 2025,Off Market,,,,,,,NA,29 Apr 2025
